# kT, E(G), C(G), C(G)_error
9.999999999999982236e-01,-4.992568000000000211e+03,2.341015039980420126e-02,1.634671425446524015e-03
1.099999999999998312e+00,-4.984992000000000189e+03,4.291964826381909626e-02,3.137045693517817591e-03
1.199999999999998401e+00,-4.971336000000000240e+03,7.122863999981865479e-02,4.508275147890019631e-03
1.299999999999998490e+00,-4.951752000000000407e+03,1.015144369217773485e-01,7.406197010242747403e-03
1.399999999999998579e+00,-4.920391999999999825e+03,1.318674155104223866e-01,8.277483482928697442e-03
1.499999999999998668e+00,-4.879655999999999949e+03,2.061954958226949464e-01,1.457943132729319982e-02
1.599999999999998757e+00,-4.823576000000000022e+03,2.740169099997733504e-01,1.763568155336900714e-02
1.699999999999998845e+00,-4.745568000000000211e+03,3.699916091344765956e-01,2.376589175525217756e-02
1.799999999999998934e+00,-4.648560000000000400e+03,4.569607901228252000e-01,2.992341712195168563e-02
1.899999999999999023e+00,-4.523671999999999571e+03,5.609932870919359660e-01,3.626028021377285249e-02
1.999999999999999112e+00,-4.352136000000000422e+03,7.720909503996379319e-01,5.703628673121659276e-02
2.099999999999999201e+00,-4.157231999999999971e+03,9.145601973694476028e-01,6.187488307166506829e-02
2.199999999999999289e+00,-3.874184000000000196e+03,1.377734722644399445e+00,9.978239013317222184e-02
2.299999999999999378e+00,-3.373367999999999938e+03,1.955884807258986280e+00,1.209522217776280578e-01
2.399999999999999467e+00,-3.020255999999999858e+03,1.165279893333273975e+00,7.125549388421677233e-02
2.499999999999999556e+00,-2.761376000000000204e+03,8.383423119359614262e-01,5.490396788799099120e-02
2.599999999999999645e+00,-2.568456000000000131e+03,7.316421339644352262e-01,4.567890568409992136e-02
2.699999999999999734e+00,-2.410143999999999778e+03,5.678746372566078060e-01,3.375978427638959972e-02
2.799999999999999822e+00,-2.278391999999999825e+03,4.804150171429205085e-01,3.002019100969342477e-02
2.899999999999999911e+00,-2.149215999999999894e+03,4.301649152913643581e-01,2.915448761861029123e-02
3.000000000000000000e+00,-2.037400000000000091e+03,3.887271111111053057e-01,2.523782165716725520e-02
