# kT, |M|, chi, chi_error
9.999999999999982236e-01,2.498115999999999985e+03,1.751417599990967187e-03,1.915111278223838385e-04
1.099999999999998312e+00,2.496188000000000102e+03,2.939874909140851450e-03,2.422936163024349274e-04
1.199999999999998401e+00,2.492416000000000167e+03,5.904981333141533575e-03,4.693264572242393713e-04
1.299999999999998490e+00,2.486119999999999891e+03,1.153526153873940009e-02,8.909118282244783476e-04
1.399999999999998579e+00,2.478715999999999894e+03,1.783066971440402243e-02,1.444674081985192031e-03
1.499999999999998668e+00,2.465483999999999924e+03,2.507033173342547785e-02,1.723007296180086891e-03
1.599999999999998757e+00,2.448403999999999996e+03,4.405719600012529547e-02,3.432516965176338197e-03
1.699999999999998845e+00,2.423547999999999774e+03,7.335804611773180661e-02,5.118841161942500051e-03
1.799999999999998934e+00,2.392307999999999993e+03,1.179860302222272422e-01,8.370889961593373785e-03
1.899999999999999023e+00,2.347784000000000106e+03,2.093577566315470151e-01,1.674354669136957074e-02
1.999999999999999112e+00,2.283239999999999782e+03,3.502556800002233350e-01,2.790503825260616522e-02
2.099999999999999201e+00,2.181692000000000007e+03,6.415621211429439752e-01,4.315355662942117060e-02
2.199999999999999289e+00,1.905523999999999887e+03,1.427456680436373482e+01,1.612731199856425546e+00
2.299999999999999378e+00,9.307599999999999909e+02,1.081417521419130878e+02,5.107082816668839342e+00
2.399999999999999467e+00,5.096279999999999859e+02,6.209605421600000597e+01,3.548372688139267428e+00
2.499999999999999556e+00,3.219159999999999968e+02,2.483400872704000406e+01,1.312013485864984563e+00
2.599999999999999645e+00,2.435200000000000102e+02,1.290714918400000144e+01,7.484878515827109169e-01
2.699999999999999734e+00,1.935840000000000032e+02,8.610792334222223232e+00,6.022674935545129227e-01
2.799999999999999822e+00,1.610320000000000107e+02,5.603213357714285081e+00,3.540007033565503169e-01
2.899999999999999911e+00,1.472760000000000105e+02,4.670175009103449071e+00,2.947561045025766657e-01
3.000000000000000000e+00,1.321920000000000073e+02,3.535238664533333797e+00,2.164608901146790609e-01
