# Lower_bound, Upper_bound, frequency
9.600000000000000000e+01,1.365099999999999909e+02,9.973843595171664751e-05
1.365099999999999909e+02,1.770199999999999818e+02,2.493460898792916255e-04
1.770199999999999818e+02,2.175300000000000011e+02,4.986921797585829258e-04
2.175300000000000011e+02,2.580399999999999636e+02,8.228420966016628197e-04
2.580399999999999636e+02,2.985499999999999545e+02,1.047253577493024697e-03
2.985499999999999545e+02,3.390600000000000023e+02,1.122057404456810797e-03
3.390600000000000023e+02,3.795699999999999932e+02,9.724497505292372963e-04
3.795699999999999932e+02,4.200799999999999841e+02,1.146992013444741521e-03
4.200799999999999841e+02,4.605899999999999750e+02,9.724497505292372963e-04
4.605899999999999750e+02,5.010999999999999659e+02,1.047253577493024697e-03
5.010999999999999659e+02,5.416099999999999000e+02,8.976459235654510880e-04
5.416099999999999000e+02,5.821200000000000045e+02,7.729728786258018057e-04
5.821200000000000045e+02,6.226299999999999955e+02,1.022318968505095708e-03
6.226299999999999955e+02,6.631399999999999864e+02,7.979074876137331801e-04
6.631399999999999864e+02,7.036499999999999773e+02,9.225805325533789928e-04
7.036499999999999773e+02,7.441599999999999682e+02,7.231036606499456707e-04
7.441599999999999682e+02,7.846699999999999591e+02,5.984306157102998579e-04
7.846699999999999591e+02,8.251799999999999500e+02,8.727113145775206894e-04
8.251799999999999500e+02,8.656899999999999409e+02,7.231036606499456707e-04
8.656899999999999409e+02,9.061999999999999318e+02,6.233652246982290639e-04
9.061999999999999318e+02,9.467099999999999227e+02,5.236267887465123486e-04
9.467099999999999227e+02,9.872199999999999136e+02,4.737575707706540452e-04
9.872199999999999136e+02,1.027730000000000018e+03,3.490845258310072566e-04
1.027730000000000018e+03,1.068240000000000009e+03,5.734960067223707604e-04
1.068240000000000009e+03,1.108750000000000000e+03,3.740191348189373841e-04
1.108750000000000000e+03,1.149259999999999991e+03,3.989537438068665900e-04
1.149259999999999991e+03,1.189769999999999982e+03,5.485613977344415545e-04
1.189769999999999982e+03,1.230279999999999973e+03,3.989537438068665900e-04
1.230279999999999973e+03,1.270789999999999964e+03,3.490845258310082866e-04
1.270789999999999964e+03,1.311299999999999955e+03,2.493460898792916255e-04
1.311299999999999955e+03,1.351809999999999945e+03,2.742806988672207773e-04
1.351809999999999945e+03,1.392319999999999936e+03,2.742806988672207773e-04
1.392319999999999936e+03,1.432829999999999927e+03,3.740191348189373841e-04
1.432829999999999927e+03,1.473339999999999918e+03,1.745422629155041433e-04
1.473339999999999918e+03,1.513849999999999909e+03,1.496076539275749645e-04
1.513849999999999909e+03,1.554359999999999900e+03,2.244114808913624467e-04
1.554359999999999900e+03,1.594869999999999891e+03,2.493460898792916255e-04
1.594869999999999891e+03,1.635379999999999882e+03,1.745422629155041433e-04
1.635379999999999882e+03,1.675889999999999873e+03,1.496076539275749645e-04
1.675889999999999873e+03,1.716399999999999864e+03,2.244114808913624467e-04
1.716399999999999864e+03,1.756909999999999854e+03,9.973843595171664751e-05
1.756909999999999854e+03,1.797419999999999845e+03,1.496076539275749645e-04
1.797419999999999845e+03,1.837929999999999836e+03,7.480382696378748224e-05
1.837929999999999836e+03,1.878439999999999827e+03,1.994768719034332950e-04
1.878439999999999827e+03,1.918949999999999818e+03,1.246730449396458128e-04
1.918949999999999818e+03,1.959459999999999809e+03,1.246730449396458128e-04
1.959459999999999809e+03,1.999969999999999800e+03,9.973843595171664751e-05
1.999969999999999800e+03,2.040480000000000018e+03,4.986921797585804593e-05
2.040480000000000018e+03,2.080989999999999782e+03,1.496076539275758047e-04
2.080989999999999782e+03,2.121500000000000000e+03,4.986921797585804593e-05
2.121500000000000000e+03,2.162009999999999764e+03,7.480382696378790237e-05
2.162009999999999764e+03,2.202519999999999982e+03,1.246730449396451080e-04
2.202519999999999982e+03,2.243029999999999745e+03,0.000000000000000000e+00
2.243029999999999745e+03,2.283539999999999964e+03,1.246730449396451080e-04
2.283539999999999964e+03,2.324049999999999727e+03,7.480382696378790237e-05
2.324049999999999727e+03,2.364559999999999945e+03,0.000000000000000000e+00
2.364559999999999945e+03,2.405069999999999709e+03,2.493460898792930079e-05
2.405069999999999709e+03,2.445579999999999927e+03,7.480382696378706211e-05
2.445579999999999927e+03,2.486089999999999691e+03,0.000000000000000000e+00
2.486089999999999691e+03,2.526599999999999909e+03,2.493460898792902296e-05
2.526599999999999909e+03,2.567109999999999673e+03,7.480382696378790237e-05
2.567109999999999673e+03,2.607619999999999891e+03,2.493460898792902296e-05
2.607619999999999891e+03,2.648129999999999654e+03,9.973843595171720316e-05
2.648129999999999654e+03,2.688639999999999873e+03,4.986921797585804593e-05
2.688639999999999873e+03,2.729150000000000091e+03,2.493460898792902296e-05
2.729150000000000091e+03,2.769659999999999854e+03,2.493460898792930079e-05
2.769659999999999854e+03,2.810170000000000073e+03,2.493460898792902296e-05
2.810170000000000073e+03,2.850679999999999836e+03,0.000000000000000000e+00
2.850679999999999836e+03,2.891190000000000055e+03,2.493460898792902296e-05
2.891190000000000055e+03,2.931699999999999818e+03,4.986921797585860158e-05
2.931699999999999818e+03,2.972210000000000036e+03,2.493460898792902296e-05
2.972210000000000036e+03,3.012719999999999800e+03,0.000000000000000000e+00
3.012719999999999800e+03,3.053230000000000018e+03,0.000000000000000000e+00
3.053230000000000018e+03,3.093739999999999782e+03,0.000000000000000000e+00
3.093739999999999782e+03,3.134250000000000000e+03,0.000000000000000000e+00
3.134250000000000000e+03,3.174759999999999764e+03,2.493460898792930079e-05
3.174759999999999764e+03,3.215269999999999982e+03,0.000000000000000000e+00
3.215269999999999982e+03,3.255779999999999745e+03,0.000000000000000000e+00
3.255779999999999745e+03,3.296289999999999964e+03,0.000000000000000000e+00
3.296289999999999964e+03,3.336799999999999727e+03,0.000000000000000000e+00
3.336799999999999727e+03,3.377309999999999945e+03,0.000000000000000000e+00
3.377309999999999945e+03,3.417819999999999709e+03,0.000000000000000000e+00
3.417819999999999709e+03,3.458329999999999927e+03,2.493460898792902296e-05
3.458329999999999927e+03,3.498839999999999691e+03,0.000000000000000000e+00
3.498839999999999691e+03,3.539349999999999909e+03,0.000000000000000000e+00
3.539349999999999909e+03,3.579859999999999673e+03,0.000000000000000000e+00
3.579859999999999673e+03,3.620369999999999891e+03,0.000000000000000000e+00
3.620369999999999891e+03,3.660879999999999654e+03,0.000000000000000000e+00
3.660879999999999654e+03,3.701389999999999873e+03,0.000000000000000000e+00
3.701389999999999873e+03,3.741899999999999636e+03,2.493460898792930079e-05
3.741899999999999636e+03,3.782409999999999854e+03,4.986921797585804593e-05
3.782409999999999854e+03,3.822919999999999618e+03,0.000000000000000000e+00
3.822919999999999618e+03,3.863429999999999836e+03,0.000000000000000000e+00
3.863429999999999836e+03,3.903939999999999600e+03,0.000000000000000000e+00
3.903939999999999600e+03,3.944449999999999818e+03,2.493460898792902296e-05
3.944449999999999818e+03,3.984960000000000036e+03,0.000000000000000000e+00
3.984960000000000036e+03,4.025469999999999800e+03,0.000000000000000000e+00
4.025469999999999800e+03,4.065980000000000018e+03,0.000000000000000000e+00
4.065980000000000018e+03,4.106489999999999782e+03,0.000000000000000000e+00
4.106489999999999782e+03,4.147000000000000000e+03,2.493460898792902296e-05
