# Distance, Potential
0.000000000000000000e+00,2.496465146490965958e-01
1.000000000000000000e+00,8.297948396645317415e-02
2.000000000000000000e+00,3.980406332678190079e-02
3.000000000000000000e+00,2.446137707988228771e-02
4.000000000000000000e+00,1.720645406795474550e-02
5.000000000000000000e+00,1.302165576527047723e-02
6.000000000000000000e+00,1.028788179985717401e-02
7.000000000000000000e+00,8.357415363962719321e-03
8.000000000000000000e+00,6.918272050275848205e-03
9.000000000000000000e+00,5.804455625217241725e-03
1.000000000000000000e+01,4.915152874988589285e-03
1.100000000000000000e+01,4.189381982766545061e-03
1.200000000000000000e+01,3.584036621827042194e-03
1.300000000000000000e+01,3.071754000975270970e-03
1.400000000000000000e+01,2.630534893930258720e-03
1.500000000000000000e+01,2.246358501468789185e-03
1.600000000000000000e+01,1.906480595901624163e-03
1.700000000000000000e+01,1.602901184404935224e-03
1.800000000000000000e+01,1.327478983779518560e-03
1.900000000000000000e+01,1.075123404450402083e-03
2.000000000000000000e+01,8.401964039871619508e-04
2.100000000000000000e+01,6.190135641180066111e-04
2.200000000000000000e+01,4.073697152211012387e-04
2.300000000000000000e+01,2.021648718371320947e-04
2.400000000000000000e+01,0.000000000000000000e+00
