`# time, f
0.000000000000000000e+00,-1.094001050016394638e-01
2.001000500250125214e+01,-1.094002292721499708e-01
4.002001000500250427e+01,-1.094004268677840619e-01
6.003001500750375641e+01,-1.094007655599271434e-01
8.004002001000500854e+01,-1.094013566471214727e-01
1.000500250125062536e+02,-1.094024028917396918e-01
1.200600300150075128e+02,-1.094042867453743351e-01
1.400700350175087578e+02,-1.094077654020714357e-01
1.600800400200100171e+02,-1.094144676770662100e-01
1.800900450225112479e+02,-1.094284715880853992e-01
2.001000500250125071e+02,-1.094637227620046532e-01
2.201100550275137380e+02,-1.096425592308912234e-01
2.401200600300150256e+02,-1.132104534583586453e-01
2.601300650325162565e+02,-1.270471040687961573e-01
2.801400700350175157e+02,-1.487068217559430194e-01
3.001500750375187749e+02,-1.627999136109376244e-01
3.201600800400200342e+02,-1.686182269235491915e-01
3.401700850425212366e+02,-1.703241644118476394e-01
3.601800900450224958e+02,-1.707391776627539548e-01
3.801900950475236982e+02,-1.709594598635254536e-01
4.002001000500250143e+02,-1.711924502865986575e-01
4.202101050525262735e+02,-1.715007939434715356e-01
4.402201100550274759e+02,-1.720156240158142724e-01
4.602301150575287352e+02,-1.734976234157211139e-01
4.802401200600300513e+02,-1.742242469021068330e-01
5.002501250625312537e+02,-1.750955723201499392e-01
5.202601300650325129e+02,-1.755041760595305311e-01
5.402701350675338290e+02,-1.757422748379534327e-01
5.602801400700350314e+02,-1.760602256036506719e-01
5.802901450725362338e+02,-1.769155530075884886e-01
6.003001500750375499e+02,-1.772906558695912793e-01
6.203101550775387523e+02,-1.775349161577095269e-01
6.403201600800400684e+02,-1.778781205106595154e-01
6.603301650825412707e+02,-1.788334203363697028e-01
6.803401700850424731e+02,-1.797909768463207825e-01
7.003501750875437892e+02,-1.801020409654070509e-01
7.203601800900449916e+02,-1.803716908988937939e-01
7.403701850925463077e+02,-1.810824823465010114e-01
7.603801900950473964e+02,-1.814231659865048751e-01
7.803901950975487125e+02,-1.815593916344872827e-01
8.004002001000500286e+02,-1.816613948455584604e-01
8.204102051025512310e+02,-1.817629197070172176e-01
8.404202101050525471e+02,-1.818740890446140512e-01
8.604302151075538632e+02,-1.820003909135421150e-01
8.804402201100549519e+02,-1.821470129532651860e-01
9.004502251125562680e+02,-1.823210630433896862e-01
9.204602301150574704e+02,-1.825355486920139381e-01
9.404702351175587864e+02,-1.828160282692048166e-01
9.604802401200601025e+02,-1.832258600853118313e-01
9.804902451225613049e+02,-1.842147705586583140e-01
1.000500250125062507e+03,-1.856060744687098585e-01
1.020510255127563710e+03,-1.858729874705940810e-01
1.040520260130065026e+03,-1.861281420815013576e-01
1.060530265132566228e+03,-1.867695745012881992e-01
1.080540270135067658e+03,-1.872901341131018860e-01
1.100550275137568860e+03,-1.874618271120470081e-01
1.120560280140070063e+03,-1.876042121751797243e-01
1.140570285142571265e+03,-1.877951177430302876e-01
1.160580290145072468e+03,-1.883237936563506576e-01
1.180590295147573897e+03,-1.887993675480029721e-01
1.200600300150075100e+03,-1.889456698884487973e-01
1.220610305152576302e+03,-1.890235756246808341e-01
1.240620310155077505e+03,-1.890832345370239698e-01
