# Distance, Potential
0.000000000000000000e+00,3.533275952575849477e-01
1.000000000000000000e+00,2.590581249518699725e-01
2.000000000000000000e+00,1.154201842483791041e-01
3.000000000000000000e+00,6.712919424118511669e-02
4.000000000000000000e+00,4.628593235023323316e-02
5.000000000000000000e+00,3.512594950659218146e-02
6.000000000000000000e+00,2.817375814749618901e-02
7.000000000000000000e+00,2.339551573404883775e-02
8.000000000000000000e+00,1.989231297825619360e-02
9.000000000000000000e+00,1.720749358272933086e-02
1.000000000000000000e+01,1.508380800061593155e-02
1.100000000000000000e+01,1.336490194976177985e-02
1.200000000000000000e+01,1.195014388361194911e-02
1.300000000000000000e+01,1.077181367942703014e-02
1.400000000000000000e+01,9.782686384144848382e-03
1.500000000000000000e+01,8.948867920585149016e-03
1.600000000000000000e+01,8.245460763169600027e-03
1.700000000000000000e+01,7.653841730501749138e-03
1.800000000000000000e+01,7.159896180097624109e-03
1.900000000000000000e+01,6.752844855952845095e-03
2.000000000000000000e+01,6.424447332972754200e-03
2.100000000000000000e+01,6.168455178639229049e-03
2.200000000000000000e+01,5.980233307174407167e-03
2.300000000000000000e+01,5.856500757817566238e-03
2.400000000000000000e+01,5.795157866760589083e-03
