# mu, kappa, kappa_error
-2.500000000000000000e+00,-4.865899999999999892e+00,3.646498238521935775e-01
-2.399999999999999911e+00,-6.695879166666673932e+00,4.456616550269067445e-01
-2.299999999999999822e+00,-8.269091304347830018e+00,4.706939478943421573e-01
-2.199999999999999734e+00,-1.208863636363633809e+01,7.897120608375416406e-01
-2.099999999999999645e+00,-1.728731428571432005e+01,1.036824612283143487e+00
-1.999999999999999556e+00,-2.076912000000000447e+01,1.346473073034686996e+00
-1.899999999999999467e+00,-3.198218947368422604e+01,1.790842847948489247e+00
-1.799999999999999378e+00,-3.826499444444444720e+01,2.521025829297534937e+00
-1.699999999999999289e+00,-6.708928823529400631e+01,4.413539779330877266e+00
-1.599999999999999201e+00,-1.597297324218750233e+06,4.216195931270777510e+04
-1.499999999999999112e+00,-3.903999924659731086e-02,1.048098707740682464e-02
