# mu, kappa, kappa_error
-2.500000000000000000e+00,-7.420545760000240421e+01,4.124653502814610739e+00
-2.399999999999999911e+00,-1.069515000000016443e+02,7.039025478091693877e+00
-2.299999999999999822e+00,-1.367143286956485611e+02,8.845944332124295428e+00
-2.199999999999999734e+00,-1.766765745454441685e+02,1.036074514941649483e+01
-2.099999999999999645e+00,-3.849399828571353055e+02,2.286393716499659945e+01
-1.999999999999999556e+00,-1.558823509820001491e+05,1.449672692407943759e+04
-1.899999999999999467e+00,-6.232852842070555965e+01,3.912588306720733655e+00
-1.799999999999999378e+00,-4.040946444496513834e+01,2.677445215888123009e+00
-1.699999999999999289e+00,-2.933331529390725478e+01,1.770266008914591183e+00
-1.599999999999999201e+00,-2.030444000090939127e+01,1.281684454073331647e+00
-1.499999999999999112e+00,-1.608826399967075460e+01,9.717240359694100382e-01
