# kT, kappa, kappa_error
4.000000000000000222e-01,4.185451000000000477e+01,2.594635011027529359e+00
4.184210526315789713e-01,4.256971270440242705e+01,2.418951713174086304e+00
4.368421052631579204e-01,6.498621734939769112e+01,3.997206482294455299e+00
4.552631578947368696e-01,6.249335907514447541e+01,3.731674114804441444e+00
4.736842105263158187e-01,7.558266711111163261e+01,4.542773105270685896e+00
4.921052631578947678e-01,8.081245818181841400e+01,4.974940149928047894e+00
5.105263157894737169e-01,8.025321072164940972e+01,5.163637379652335824e+00
5.289473684210526105e-01,1.066138208955211155e+02,7.783500150854072430e+00
5.473684210526316152e-01,1.077904711538460560e+02,6.585371280138262229e+00
5.657894736842105088e-01,1.274000372093014875e+02,8.303059319705797137e+00
5.842105263157895134e-01,1.369788122522523679e+02,9.023463725026896753e+00
6.026315789473684070e-01,1.317156066375549983e+02,7.632744168412657793e+00
6.210526315789474117e-01,1.730280084745776321e+02,1.083779742381833699e+01
6.394736842105263053e-01,1.853117632921824338e+02,1.126603805770098532e+01
6.578947368421053099e-01,2.091374323200013805e+02,1.265409462781507344e+01
6.763157894736842035e-01,2.119152062256799240e+02,1.224372866733937570e+01
6.947368421052632081e-01,2.294038063636346862e+02,1.596369414992916269e+01
7.131578947368421018e-01,2.227056661254583503e+02,1.438373894580586132e+01
7.315789473684211064e-01,2.897309999999956176e+02,2.092137479435553615e+01
7.500000000000000000e-01,2.738057546666629491e+02,1.711483572820267796e+01
