# mu, rho
-2.500000000000000000e+00,1.915999999999999951e-03
-2.399999999999999911e+00,2.546399999999999879e-03
-2.299999999999999822e+00,3.117599999999999885e-03
-2.199999999999999734e+00,4.120000000000000398e-03
-2.099999999999999645e+00,5.286400000000000127e-03
-1.999999999999999556e+00,6.620799999999999602e-03
-1.899999999999999467e+00,8.697599999999999776e-03
-1.799999999999999378e+00,1.132080000000000065e-02
-1.699999999999999289e+00,1.548880000000000048e-02
-1.599999999999999201e+00,6.036600000000000854e-01
-1.499999999999999112e+00,9.999904000000000570e-01
