# mu, rho
-2.500000000000000000e+00,8.017359999999999765e-02
-2.399999999999999911e+00,8.975199999999999845e-02
-2.299999999999999822e+00,1.006552000000000002e-01
-2.199999999999999734e+00,1.160976000000000091e-01
-2.099999999999999645e+00,1.433976000000000139e-01
-1.999999999999999556e+00,8.574023999999998980e-01
-1.899999999999999467e+00,9.745144000000000029e-01
-1.799999999999999378e+00,9.820631999999999140e-01
-1.699999999999999289e+00,9.862231999999999665e-01
-1.599999999999999201e+00,9.893343999999999472e-01
-1.499999999999999112e+00,9.917607999999999979e-01
