# kT, rho
4.000000000000000222e-01,6.794399999999999919e-03
4.184210526315789713e-01,8.217600000000000252e-03
4.368421052631579204e-01,1.011119999999999901e-02
4.552631578947368696e-01,1.230960000000000040e-02
4.736842105263158187e-01,1.467119999999999883e-02
4.921052631578947678e-01,1.698320000000000038e-02
5.105263157894737169e-01,1.962719999999999743e-02
5.289473684210526105e-01,2.245199999999999974e-02
5.473684210526316152e-01,2.554799999999999779e-02
5.657894736842105088e-01,2.876800000000000190e-02
5.842105263157895134e-01,3.209759999999999697e-02
6.026315789473684070e-01,3.559839999999999532e-02
6.210526315789474117e-01,3.930000000000000160e-02
6.394736842105263053e-01,4.360079999999999512e-02
6.578947368421053099e-01,4.806880000000000180e-02
6.763157894736842035e-01,5.171200000000000102e-02
6.947368421052632081e-01,5.636719999999999925e-02
7.131578947368421018e-01,6.110560000000000297e-02
7.315789473684211064e-01,6.550800000000001067e-02
7.500000000000000000e-01,7.092880000000000018e-02
