# kT, |M|, chi, chi_error, E(G), C(G), C(G)_error, E(K), C(K), C(K)_error
9.999999999999982236e-01,2.498188000000000102e+03,1.544262399896982087e-03,2.174074049067992523e-03,-4.992975999999999658e+03,3.096598219170862061e-25,4.379888644794376316e-25,-4.984319999999999709e+03,6.503409070469552147e-27,9.162012386993798619e-27
1.099999999999998312e+00,2.496215999999999894e+03,2.915397818454291447e-03,4.122373938753861461e-03,-4.984648000000000138e+03,5.546881547380790681e-25,7.850481895178207908e-25,-4.984224000000000160e+03,3.860449782075468562e-27,5.500828016575993048e-27
1.199999999999998401e+00,2.492367999999999938e+03,6.056192000086117050e-03,8.585520518047624894e-03,-4.971159999999999854e+03,9.846113684060701717e-25,1.395820478276463703e-24,-4.984136000000000422e+03,2.015379354506167434e-27,2.888674602417992723e-27
1.299999999999998490e+00,2.487012000000000171e+03,9.395647999758914570e-03,1.329480940113228482e-02,-4.952024000000000342e+03,1.255986767315104682e-24,1.774724110210963165e-24,-4.984119999999999891e+03,1.521491545397337864e-27,2.177215123337190253e-27
1.399999999999998579e+00,2.478628000000000156e+03,1.703703314252199424e-02,2.409640875249228695e-02,-4.918463999999999942e+03,2.063897544262122789e-24,2.912722888486479663e-24,-4.984119999999999891e+03,1.311898322306887800e-27,1.891486570682623583e-27
1.499999999999998668e+00,2.466007999999999811e+03,2.935464960038664320e-02,4.138936650563595360e-02,-4.877840000000000146e+03,2.627769973977367910e-24,3.697991289178249202e-24,-4.984112000000000080e+03,1.068821140114931991e-27,1.534437366257761949e-27
1.599999999999998757e+00,2.448371999999999844e+03,4.523140400019477758e-02,6.406117268964893474e-02,-4.817007999999999811e+03,3.862934957156327096e-24,5.454038475766601101e-24,-4.984119999999999891e+03,1.004422153016210538e-27,1.461768375955710782e-27
1.699999999999998845e+00,2.426331999999999880e+03,6.336606494140102630e-02,8.972920583065295552e-02,-4.746511999999999716e+03,4.349516075245574432e-24,6.140104740642214544e-24,-4.984079999999999927e+03,5.992685557579095316e-28,8.690164488287754913e-28
1.799999999999998934e+00,2.393320000000000164e+03,1.157763555554880697e-01,1.630142257555455276e-01,-4.649152000000000044e+03,5.734147044133669365e-24,8.124159178061567051e-24,-4.984055999999999585e+03,3.764637878682974764e-28,5.462402316007648370e-28
1.899999999999999023e+00,2.342668000000000120e+03,2.288997423156705069e-01,3.234869961090328094e-01,-4.525256000000000313e+03,7.580572986662205592e-24,1.072537699986865404e-23,-4.984047999999999774e+03,2.901978908620261741e-28,4.244438850925731407e-28
1.999999999999999112e+00,2.279239999999999782e+03,3.644028800001369306e-01,5.160025092152824566e-01,-4.362583999999999833e+03,9.925136279485397269e-24,1.399670868634598482e-23,-4.984032000000000153e+03,1.753092850526424071e-28,2.642821287487427122e-28
2.099999999999999201e+00,2.170927999999999884e+03,9.344614887618950538e-01,1.323641715602162483e+00,-4.156992000000000189e+03,1.290035338831585053e-23,1.826756219055683110e-23,-4.984055999999999585e+03,2.765856400665042143e-28,4.067123366861672271e-28
2.199999999999999289e+00,1.883683999999999969e+03,1.942502766254544966e+01,2.730069028973915835e+01,-3.806103999999999814e+03,3.843386010667708220e-23,5.429912035470912276e-23,-4.984064000000000306e+03,2.874305785091334006e-28,4.170352536636476144e-28
2.299999999999999378e+00,1.071180000000000064e+03,8.045994706086960946e+01,1.135574983490498369e+02,-3.339711999999999989e+03,2.089579643315042467e-23,2.950319409924645863e-23,-4.984032000000000153e+03,1.325590057108826855e-28,1.938066893933107699e-28
2.399999999999999467e+00,4.294159999999999968e+02,4.572025697066667504e+01,6.462321528291332129e+01,-3.013175999999999931e+03,1.543374690401239552e-23,2.184292711522012065e-23,-4.984055999999999585e+03,2.117608806759172127e-28,3.087293538230588711e-28
2.499999999999999556e+00,3.358840000000000146e+02,2.672702784256000541e+01,3.777465683368725990e+01,-2.761552000000000135e+03,1.256172274799519836e-23,1.771169817525940764e-23,-4.984024000000000342e+03,8.431810897449495670e-29,1.298529240392606872e-28
2.599999999999999645e+00,2.285639999999999930e+02,1.237769455015384779e+01,1.752196307894866933e+01,-2.566175999999999931e+03,9.131982584895082368e-24,1.293434797799227112e-23,-4.984047999999999774e+03,1.549725423094546889e-28,2.272887630683983533e-28
2.699999999999999734e+00,1.907160000000000082e+02,8.273546834962964169e+00,1.171213798601477585e+01,-2.415056000000000040e+03,8.609544489554198135e-24,1.215117484955005193e-23,-4.984032000000000153e+03,9.619165160638808101e-29,1.454996127289608360e-28
2.799999999999999822e+00,1.815999999999999943e+02,7.254833682285714680e+00,1.024828621731688294e+01,-2.270623999999999796e+03,6.778205131395622132e-24,9.527489139431755894e-24,-4.984015999999999622e+03,4.490209005354734029e-29,7.186636167021203483e-29
2.899999999999999911e+00,1.628959999999999866e+02,5.577265434482758799e+00,7.864292536987916193e+00,-2.152840000000000146e+03,5.804605887231647417e-24,8.201920219131596716e-24,-4.984024000000000342e+03,6.266209049828695750e-29,9.444951272406657865e-29
3.000000000000000000e+00,1.362239999999999895e+02,3.884067165866667004e+00,5.482508568378738012e+00,-2.043319999999999936e+03,5.449521991522897753e-24,7.703847275699221003e-24,-4.984015999999999622e+03,3.911470955775678514e-29,6.149226181858127129e-29
