# kT, E(G), C(G), C(G)_error
9.999999999999982236e-01,-4.993184000000000196e+03,2.268405759930618854e-02,3.209351188994287452e-02
1.099999999999998312e+00,-4.984047999999999774e+03,3.994370115813157540e-02,5.651408213018711824e-02
1.199999999999998401e+00,-4.971087999999999738e+03,6.268451555632070793e-02,8.838295037864359049e-02
1.299999999999998490e+00,-4.950920000000000073e+03,1.043431005913480203e-01,1.473401679260693542e-01
1.399999999999998579e+00,-4.919743999999999687e+03,1.443654008171695036e-01,2.041787675748802378e-01
1.499999999999998668e+00,-4.879927999999999884e+03,1.999464561780297245e-01,2.819352598570740720e-01
1.599999999999998757e+00,-4.822735999999999876e+03,2.394903600000547195e-01,3.387079408027124372e-01
1.699999999999998845e+00,-4.744920000000000073e+03,3.736738546713418430e-01,5.256977530133999377e-01
1.799999999999998934e+00,-4.647792000000000371e+03,4.747956464195882131e-01,6.702881076578895980e-01
1.899999999999999023e+00,-4.522416000000000167e+03,5.250325699724324169e-01,7.455029577349991943e-01
1.999999999999999112e+00,-4.362551999999999680e+03,7.876719296000904702e-01,1.111343191199868352e+00
2.099999999999999201e+00,-4.144471999999999753e+03,1.110587321179254738e+00,1.566722082325687104e+00
2.199999999999999289e+00,-3.894952000000000226e+03,1.278478487272678432e+00,1.805408239969746420e+00
2.299999999999999378e+00,-3.321480000000000018e+03,1.693027568998094257e+00,2.399744780081447093e+00
2.399999999999999467e+00,-3.018751999999999953e+03,1.267980728888910669e+00,1.792661897056190501e+00
2.499999999999999556e+00,-2.767871999999999844e+03,8.641320714240672274e-01,1.216417067556661014e+00
2.599999999999999645e+00,-2.577952000000000226e+03,7.914545382247941685e-01,1.123000092860656274e+00
2.699999999999999734e+00,-2.409592000000000098e+03,5.795113051303029117e-01,8.194656317798169054e-01
2.799999999999999822e+00,-2.267016000000000076e+03,5.124648848979032056e-01,7.240463297462694792e-01
2.899999999999999911e+00,-2.144320000000000164e+03,4.856919667062734036e-01,6.864278224220939917e-01
3.000000000000000000e+00,-2.033584000000000060e+03,4.414714197333280965e-01,6.238601945525754644e-01
